#Overall layout: Number Of Triangles,Frame Time,Tris Per Second,Processes
#0: TileDims 2x2
7371193,67.218,109660.998542,1
14747865,71.3515,206693.131889,2
29611163,78.601,376727.560718,4
59242575,203.585,290996.758111,8


#1: TileDims 4x4
7371193,93.334,78976.5037393,1
14747865,96.393,152997.261212,2
29611163,79.8595,370790.738735,4
59242575,244.589,242212.752822,8


#2: TileDims 12x4
7371193,237.509,31035.426026,1
14747865,258.287,57098.7506146,2
29611163,128.812,229878.916561,4
59242575,270.009,219409.63079,8
