#Overall layout: Number Of Polygons,Frame Time,Polys Per Second
#0: 32 nodes, 1x1
803232,0.133127433628,6033557.30754
6425856,0.171090909091,37558138.1509
21687264,0.220973529412,98144171.6468
51406848,0.321053191489,160119411.246
100404000,0.95893125,104704065.072
173498112,1.38407272727,125353320.372
275508576,2.2594,121938822.696
411254784,3.0874,133204244.348
585556128,50.9934,11482978.7384


#1: 32 nodes, 4x4
803232,0.248209836066,3236100.60234
6425856,0.239742857143,26803117.626
21687264,0.284771698113,76156669.1624
51406848,0.293165384615,175351015.835
100404000,0.894523529412,112242994.956
173498112,1.47513636364,117614965.149
275508576,2.35512857143,116982392.954
411254784,3.07062,133932164.84
585556128,48.1623,12157976.8408


#2: 64 nodes, 1x1
1606464,0.18313253012,8772138.94739
12851712,0.247436065574,51939526.1567
43374528,0.309393877551,140191940.265
102813696,0.400439473684,256752150.466
200808000,1.02072,196731718.787
346996224,1.55923,222543322.024
551017152,2.51333333333,219237593.634
822509568,3.47828,236470200.214
1171112256,24.34175,48111259.7081


#3: 64 nodes, 4x4
1606464,0.253603333333,6334553.96223
12851712,0.299829411765,42863413.3134
43374528,0.355974418605,121847317.484
102813696,0.407891891892,252061141.797
200808000,1.04154,192799124.374
346996224,1.57723,220003565.745
551017152,2.63356666667,209228480.514
822509568,18.8354,43668282.4894


#4: 64 nodes, 12x4
1606464,0.309512244898,5190308.38515
12851712,0.32059787234,40086703.9641
43374528,0.3719,116629545.577
102813696,0.438457142857,234489727.616
200808000,1.21603076923,165133979.403
346996224,1.61608,214714756.695
551017152,2.73668333333,201344870.738
822509568,19.1844,42873875.0235


#5: 120 nodes, 1x1
3012120,0.334115555556,9015204.32052
24096960,0.429013888889,56168251.4811
81327240,0.51495,157932304.107
192775680,0.6374125,302434734.179
376515000,1.266975,297176345.232
650617920,1.83721111111,354133455.903
1033157160,2.81771666667,366664672.932
1542205440,8.5137,181143972.656
#2195835480,51.8736,42330501.064125


#6: 120 nodes, 4x4
3012120,0.388628205128,7750646.91717
24096960,0.482290625,49963567.0919
81327240,0.558707407407,145563203.426
192775680,0.695845454545,277038067.492
376515000,1.30418333333,288697908.015
650617920,1.9238,338194157.397
1033157160,2.70251666667,382294463.802
1542205440,9.29695,165882944.406
#2195835480,27.8982,78708858.636041


#7: 120 nodes, 12x4
3012120,0.410437837838,7338797.06575
24096960,0.497370967742,48448666.2127
81327240,0.561122222222,144936765.609
192775680,0.698045454545,276164938.465
376515000,1.331925,282684835.858
650617920,1.9655125,331016933.243
1033157160,2.69088333333,383947214.36
1542205440,8.98675,171608806.298

