#Overall layout: Number Of Triangles,Frame Time,Tris Per Second,Processes
#0: TileDims 1x1
473786336,5.00195833333,94720168.4674,16
473786336,2.59004255319,182926081.819,32
473786336,1.42402352941,332709626.081,64
473786336,1.06230088496,446000133.021,128


#1: TileDims 4x4
473786336,15.473625,30618962.0079,16
473786336,4.23503448276,111873076.342,32
473786336,1.75294202899,270280664.257,64
473786336,1.27270526316,372267130.273,128


#2: TileDims 12x4
473786336,5.15966666667,91824989.2111,64
473786336,2.96882926829,159586925.749,128


#3: VTK-Composite
473786336,9.93253846154,47700428.026,16
473786336,5.106625,92778760.14,32
473786336,2.69942222222,175513979.288,64
473786336,1.48158024691,319784457.837,128
