#Overall layout: Number Of Triangles,Frame Time,Tris Per Second,Processes
#0: TileDims 1x1
118489973,1.41823529412,83547471.6299,16
236950253,1.34601111111,176038853.65,32
473786336,1.42402352941,332709626.081,64
947572672,1.63590540541,579234391.467,128


#1: TileDims 4x4
118489973,4.453,26609021.5585,16
236950253,1.6402972973,144455674.828,32
473786336,1.75294202899,270280664.257,64
947572672,1.94333870968,487600369.035,128


#2: TileDims 12x4
473786336,5.15966666667,91824989.2111,64
947572672,5.77080952381,164200996.08,128


#3: VTK-Composite
118489973,2.84311627907,41676091.0809,16
236950253,2.64852173913,89465096.51,32
473786336,2.69942222222,175513979.288,64
947572672,2.68248888889,353243838.558,128
